base_date,airport,airport_-1day,airport_-2day,총관광객,내국인,tourist_-1day,tourist_-2day,base_day,fri,mon,sat,sun,thu,tue,wed,평균기온,강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),weekend,holiday,holiandweekend,std_airport,month,01,02,03,04,05,06,07,08,09,10,11,12,관광지하차관광객(y)
20180808,3809,4521,3978,42774,38483,41263,44677,wed,0,0,0,0,0,0,1,29.3,0.0,0.0,6.5,2.8,0,0,0,-0.707209843478944,08,0,0,0,0,0,0,0,1,0,0,0,0,3554
20180809,4294,3809,4521,42487,37914,42774,41263,thu,0,0,0,0,1,0,0,29.6,0.0,0.0,4.0,2.3,0,0,0,-0.305627005471027,08,0,0,0,0,0,0,0,1,0,0,0,0,3641
20180810,3992,4294,3809,44152,39931,42487,42774,fri,1,0,0,0,0,0,0,29.9,0.0,0.0,4.4,2.5,0,0,0,-0.555684772642967,08,0,0,0,0,0,0,0,1,0,0,0,0,3442
20180811,3620,3992,4294,47966,42898,44152,42487,sat,0,0,1,0,0,0,0,28.8,2.05,0.0,7.3,3.7,1,0,1,-0.8637029494242972,08,0,0,0,0,0,0,0,1,0,0,0,0,3299
20180812,3823,3620,3992,45674,40731,47966,44152,sun,0,0,0,1,0,0,0,29.8,4.87,41.1,5.7,3.2,1,0,1,-0.6956177615570659,08,0,0,0,0,0,0,0,1,0,0,0,0,2990
20180813,4960,3823,3620,42037,38054,45674,47966,mon,0,1,0,0,0,0,0,31.1,1.68,0.2,7.3,3.8,0,0,0,0.24582489166974145,08,0,0,0,0,0,0,0,1,0,0,0,0,3194
20180814,4697,4960,3823,42044,37638,42037,45674,tue,0,0,0,0,0,1,0,31.2,0.0,0.0,5.9,3.1,0,0,0,0.02805935270874731,08,0,0,0,0,0,0,0,1,0,0,0,0,3645
20180815,3711,4697,4960,44902,40600,42044,42037,wed,0,0,0,0,0,0,1,29.7,1.38,1.4,7.5,3.5,0,0,0,-0.7883544169320901,08,0,0,0,0,0,0,0,1,0,0,0,0,3484
20180816,4436,3711,4697,40608,36552,44902,42044,thu,0,0,0,0,1,0,0,27.5,13.95,12.7,8.3,3.7,0,0,0,-0.1880501745491214,08,0,0,0,0,0,0,0,1,0,0,0,0,3204
20180817,3718,4436,3711,40332,36242,40608,44902,fri,1,0,0,0,0,0,0,26.2,7.6,8.0,8.0,4.6,0,0,0,-0.7825583759711511,08,0,0,0,0,0,0,0,1,0,0,0,0,3599
20180818,3792,3718,4436,41923,37213,40332,40608,sat,0,0,1,0,0,0,0,26.7,0.0,0.0,7.3,3.7,1,0,1,-0.7212859429555101,08,0,0,0,0,0,0,0,1,0,0,0,0,3736
20180819,4511,3792,3718,43756,39502,41923,40332,sun,0,0,0,1,0,0,0,28.3,0.0,0.0,5.6,2.7,1,0,1,-0.12594973568191775,08,0,0,0,0,0,0,0,1,0,0,0,0,3445
20180820,5097,4511,3792,43564,39403,43756,41923,mon,0,1,0,0,0,0,0,29.2,0.0,0.0,5.2,2.4,0,0,0,0.35926169333383345,08,0,0,0,0,0,0,0,1,0,0,0,0,3752
20180821,5067,5097,4511,38700,34441,43564,43756,tue,0,0,0,0,0,1,0,28.1,0.0,0.0,5.9,2.6,0,0,0,0.334421517786952,08,0,0,0,0,0,0,0,1,0,0,0,0,4250
20180822,3082,5067,5097,21715,19199,38700,43564,wed,0,0,0,0,0,0,1,27.8,10.92,36.9,14.2,5.8,0,0,0,-1.309170097565038,08,0,0,0,0,0,0,0,1,0,0,0,0,2874
20180823,1109,3082,5067,0,0,21715,38700,thu,0,0,0,0,1,0,0,26.5,17.22,265.4,14.9,9.8,0,0,0,-2.9428256426982755,08,0,0,0,0,0,0,0,1,0,0,0,0,1028
20180824,4380,1109,3082,42676,37247,0,21715,fri,1,0,0,0,0,0,0,27.2,0.2,0.0,11.9,5.6,0,0,0,-0.23441850223663346,08,0,0,0,0,0,0,0,1,0,0,0,0,3779
20180825,4047,4380,1109,44539,39330,42676,0,sat,0,0,1,0,0,0,0,26.4,2.05,1.4,6.0,2.1,1,0,1,-0.5101444508070176,08,0,0,0,0,0,0,0,1,0,0,0,0,2990
20180826,4333,4047,4380,42637,38138,44539,42676,sun,0,0,0,1,0,0,0,28.3,6.82,8.5,5.0,1.8,1,0,1,-0.2733347772600811,08,0,0,0,0,0,0,0,1,0,0,0,0,2904
20180827,5090,4333,4047,43772,39691,42637,44539,mon,0,1,0,0,0,0,0,28.4,0.23,0.0,5.3,2.1,0,0,0,0.35346565237289446,08,0,0,0,0,0,0,0,1,0,0,0,0,3576
20180828,4907,5090,4333,42041,37807,43772,42637,tue,0,0,0,0,0,1,0,27.8,0.0,0.0,3.8,1.7,0,0,0,0.20194058153691755,08,0,0,0,0,0,0,0,1,0,0,0,0,4307
20180829,4676,4907,5090,41807,36092,42041,43772,wed,0,0,0,0,0,0,1,28.5,0.0,0.0,5.9,1.8,0,0,0,0.010671229825930289,08,0,0,0,0,0,0,0,1,0,0,0,0,4459
20180830,4235,4676,4907,39464,35179,41807,42041,thu,0,0,0,0,1,0,0,28.9,1.03,0.0,7.0,2.4,0,0,0,-0.35447935071322717,08,0,0,0,0,0,0,0,1,0,0,0,0,4055
20180831,4194,4235,4676,39581,35611,39464,41807,fri,1,0,0,0,0,0,0,30.0,0.0,0.0,7.9,3.8,0,0,0,-0.38842759062729854,08,0,0,0,0,0,0,0,1,0,0,0,0,3370
20180901,3374,4194,4235,41270,36731,39581,39464,sat,0,0,1,0,0,0,0,25.8,7.63,9.5,7.4,3.4,1,0,1,-1.0673923889087251,09,0,0,0,0,0,0,0,0,1,0,0,0,2548
20180902,4458,3374,4194,39400,35480,41270,39581,sun,0,0,0,1,0,0,0,24.9,5.75,1.1,4.9,2.2,1,0,1,-0.16983404581474165,09,0,0,0,0,0,0,0,0,1,0,0,0,2712
20180903,3819,4458,3374,39819,35483,39400,41270,mon,0,1,0,0,0,0,0,27.0,2.78,0.5,5.0,1.4,0,0,0,-0.6989297849633168,09,0,0,0,0,0,0,0,0,1,0,0,0,2773
20180904,3482,3819,4458,36212,32068,39819,39400,tue,0,0,0,0,0,1,0,26.2,1.92,7.1,7.5,3.9,0,0,0,-0.9779677569399519,09,0,0,0,0,0,0,0,0,1,0,0,0,2979
